tweet_id,favorites,retweets,user_followers,user_favourites,date_time
707059547140169728,2422,623,9208010,146963,2016-03-08 04:25:07
707038192327901184,2037,725,9208010,146963,2016-03-08 03:00:15
707021089608753152,3786,1241,9208010,146963,2016-03-08 01:52:18
707014260413456384,2139,549,9208010,146963,2016-03-08 01:25:10
706904523814649856,13577,7197,9208010,146963,2016-03-07 18:09:06
706901761596989440,1905,531,9208010,146963,2016-03-07 17:58:08
706681918348251136,3057,899,9208010,146963,2016-03-07 03:24:33
706644897839910912,2377,998,9208010,146963,2016-03-07 00:57:27
706593038911545345,2007,587,9208010,146963,2016-03-06 21:31:22
706538006853918722,3235,1313,9208010,146963,2016-03-06 17:52:42
706516534877929472,2895,943,9208010,146963,2016-03-06 16:27:23
706346369204748288,3206,852,9208010,146963,2016-03-06 05:11:12
706310011488698368,19751,7215,9208010,146963,2016-03-06 02:46:44
706291001778950144,1583,439,9208010,146963,2016-03-06 01:31:11
706265994973601792,2544,859,9208010,146963,2016-03-05 23:51:49
706169069255446529,3626,2017,9208010,146963,2016-03-05 17:26:40
706166467411222528,4775,1471,9208010,146963,2016-03-05 17:16:20
706153300320784384,1377,348,9208010,146963,2016-03-05 16:24:01
705975130514706432,2890,671,9208010,146963,2016-03-05 04:36:02
705970349788291072,2957,813,9208010,146963,2016-03-05 04:17:02
705898680587526145,2211,505,9208010,146963,2016-03-04 23:32:15
705786532653883392,1813,469,9208009,146963,2016-03-04 16:06:36
705591895322394625,2946,1046,9208009,146963,2016-03-04 03:13:11
705475953783398401,2779,840,9208009,146963,2016-03-03 19:32:29
705442520700944385,4103,1479,9208009,146963,2016-03-03 17:19:38
705428427625635840,3545,1537,9208009,146963,2016-03-03 16:23:38
705239209544720384,2798,684,9208009,146963,2016-03-03 03:51:44
705223444686888960,2401,728,9208009,146963,2016-03-03 02:49:06
705102439679201280,1990,480,9208009,146963,2016-03-02 18:48:16
705066031337840642,2038,558,9208009,146963,2016-03-02 16:23:36
704871453724954624,4004,1030,9208009,146963,2016-03-02 03:30:25
704859558691414016,2095,482,9208009,146963,2016-03-02 02:43:09
704847917308362754,4744,1389,9208009,146963,2016-03-02 01:56:53
704819833553219584,2467,904,9208009,146963,2016-03-02 00:05:17
704761120771465216,6194,2668,9208009,146963,2016-03-01 20:11:59
704499785726889984,2689,916,9208009,146963,2016-03-01 02:53:32
704491224099647488,695,71,9208009,146963,2016-03-01 02:19:31
704480331685040129,3173,990,9208009,146963,2016-03-01 01:36:14
704364645503647744,7409,3261,9208494,146967,2016-02-29 17:56:32
704347321748819968,1462,316,9208009,146963,2016-02-29 16:47:42
704134088924532736,1401,415,9208009,146963,2016-02-29 02:40:23
704113298707505153,1731,524,9208009,146963,2016-02-29 01:17:46
704054845121142784,2716,847,9208009,146963,2016-02-28 21:25:30
703774238772166656,1724,409,9208009,146963,2016-02-28 02:50:28
703769065844768768,3040,1032,9208009,146963,2016-02-28 02:29:55
703631701117943808,2382,607,9208009,146963,2016-02-27 17:24:05
703611486317502464,3585,1393,9208009,146963,2016-02-27 16:03:45
703425003149250560,3533,1239,9208009,146963,2016-02-27 03:42:44
703407252292673536,2278,627,9208009,146963,2016-02-27 02:32:12
703382836347330562,3253,1041,9208009,146963,2016-02-27 00:55:11
703356393781329922,1785,350,9208009,146963,2016-02-26 23:10:06
703268521220972544,1845,496,9208009,146963,2016-02-26 17:20:56
703079050210877440,6878,2834,9208009,146963,2016-02-26 04:48:02
703041949650034688,24563,11434,9208009,146963,2016-02-26 02:20:37
702932127499816960,2390,660,9208009,146963,2016-02-25 19:04:13
702899151802126337,1497,414,9208009,146963,2016-02-25 16:53:11
702684942141153280,3014,973,9208009,146963,2016-02-25 02:42:00
702671118226825216,2036,512,9208009,146963,2016-02-25 01:47:04
702598099714314240,11441,3165,9208009,146963,2016-02-24 20:56:55
702539513671897089,2678,881,9208009,146963,2016-02-24 17:04:07
702332542343577600,2964,1400,9208009,146963,2016-02-24 03:21:41
702321140488925184,3063,960,9208009,146963,2016-02-24 02:36:23
702276748847800320,2302,701,9208009,146963,2016-02-23 23:39:59
702217446468493312,4443,1235,9208009,146963,2016-02-23 19:44:20
701981390485725185,3198,904,9208009,146963,2016-02-23 04:06:20
701952816642965504,3581,943,9208009,146963,2016-02-23 02:12:47
701889187134500865,3289,1270,9208009,146963,2016-02-22 21:59:57
701805642395348998,3162,1524,9208009,146963,2016-02-22 16:27:58
701601587219795968,1950,421,9208009,146963,2016-02-22 02:57:08
701570477911896070,2609,851,9208009,146963,2016-02-22 00:53:31
701545186879471618,2482,558,9208009,146963,2016-02-21 23:13:01
701214700881756160,11386,4681,9208494,146967,2016-02-21 01:19:47
700890391244103680,2063,514,9208009,146963,2016-02-20 03:51:05
700864154249383937,2431,568,9208009,146963,2016-02-20 02:06:50
700847567345688576,2300,455,9208009,146963,2016-02-20 01:00:55
700796979434098688,2274,869,9208009,146963,2016-02-19 21:39:54
700747788515020802,21211,8540,9208009,146963,2016-02-19 18:24:26
700518061187723268,2422,731,9208009,146963,2016-02-19 03:11:35
700505138482569216,2131,530,9208009,146963,2016-02-19 02:20:14
700462010979500032,3821,1636,9208009,146963,2016-02-18 23:28:52
700167517596164096,2455,665,9208009,146963,2016-02-18 03:58:39
700151421916807169,2076,619,9208009,146963,2016-02-18 02:54:41
700143752053182464,6999,2473,9208009,146963,2016-02-18 02:24:13
700062718104104960,2465,623,9208009,146963,2016-02-17 21:02:13
700029284593901568,1935,536,9208009,146963,2016-02-17 18:49:22
700002074055016451,3059,1220,9208009,146963,2016-02-17 17:01:14
699801817392291840,2796,860,9208009,146963,2016-02-17 03:45:29
699788877217865730,2085,476,9208009,146963,2016-02-17 02:54:04
699779630832685056,2534,1123,9208009,146963,2016-02-17 02:17:19
699775878809702401,1824,550,9208009,146963,2016-02-17 02:02:25
699691744225525762,9555,4213,9208009,146963,2016-02-16 20:28:06
699446877801091073,5566,2423,9208009,146963,2016-02-16 04:15:05
699434518667751424,2046,470,9208009,146963,2016-02-16 03:25:58
699423671849451520,1262,294,9208009,146963,2016-02-16 02:42:52
699413908797464576,1944,579,9208009,146963,2016-02-16 02:04:04
699370870310113280,1762,396,9208009,146963,2016-02-15 23:13:03
